"","W1","W2","W3","Count"
"56493","einem","zusammenprall","mit",3
"56494","dies","ein","großer",3
"56495","gleich","am","anfang",3
"56496","der","frau","die",3
"56497","ich","hätte","in",3
"56498","nacht","zu","sonntag",3
"56499","ist","neben","dem",3
"56500","einem","nahe","gelegenen",3
"56501","im","nächsten","frühjahr",3
"56502","ist","es","alles",3
"56503","team","das","in",3
"56504","aus","dem","man",3
"56505","kann","ich","sie",3
"56506","kaum","eine","andere",3
"56507","man","habe","sich",3
"56508","seit","dem","update",3
"56509","mit","der","alten",3
"56510","mit","der","idee",3
"56511","es","dauerte","nicht",3
"56512","lösung","der","schuldenkrise",3
"56513","sich","die","cdu",3
"56514","mit","einer","reihe",3
"56515","union","in","der",3
"56516","und","die","folgen",3
"56517","sagt","er","zu",3
"56518","sollte","man","die",3
"56519","der","hund","an",3
"56520","über","die","wahren",3
"56521","die","unsicherheit","über",3
"56522","der","saison","2011",3
"56523","doch","eine","gute",3
"56524","präsentierte","sich","der",3
"56525","zu","unterstützen","der",3
"56526","die","börse","gebracht",3
"56527","gesagt","dass","die",3
"56528","danke","an","den",3
"56529","dann","ja","dann",3
"56530","nicht","wirklich","aber",3
"56531","jemand","von","außen",3
"56532","übernahme","der","auszubildenden",3
"56533","mehr","als","mit",3
"56534","würde","wäre","das",3
"56535","mit","der","nahrung",3
"56536","wird","nach","einschätzung",3
"56537","uns","ist","der",3
"56538","das","fehlen","von",3
"56539","einen","konflikt","mit",3
"56540","der","deutschen","regierung",3
"56541","nix","da","ich",3
"56542","sind","darüber","hinaus",3
"56543","die","leiterin","der",3
"56544","leiterin","der","beratungsstelle",3
"56545","woche","der","wahrheit",3
"56546","einstimmung","auf","den",3
"56547","denn","hier","die",3
"56548","es","noch","das",3
"56549","zielgruppe","der","14",3
"56550","der","14","bis",3
"56551","14","bis","49-jährigen",3
"56552","bin","absolut","begeistert",3
"56553","den","kopf","auf",3
"56554","seinen","beitrag","leisten",3
"56555","hat","fehler","gemacht",3
"56556","einfach","nicht","gut",3
"56557","man","in","dem",3
"56558","1","mai","2011",3
"56559","dass","die","betroffenen",3
"56560","auf","den","kapitalmärkten",3
"56561","wie","es","laufen",3
"56562","für","wenig","geld",3
"56563","mit","kohle","und",3
"56564","der","unterstützung","der",3
"56565","stellt","sich","nicht",3
"56566","die","preise","werden",3
"56567","in","der","schlichtung",3
"56568","und","dem","bund",3
"56569","die","belange","des",3
"56570","was","ich","suche",3
"56571","und","der","gesundheit",3
"56572","auch","nicht","beim",3
"56573","über","die","ermittlungen",3
"56574","sie","im","frühjahr",3
"56575","im","frühjahr","2006",3
"56576","darüber","hinaus","die",3
"56577","von","ihnen","den",3
"56578","immer","noch","unklar",3
"56579","in","berlin","leben",3
"56580","es","gebe","derzeit",3
"56581","wäre","das","leben",3
"56582","der","beste","deutsche",3
"56583","bei","bauer","sucht",3
"56584","sich","mit","seinem",3
"56585","spaß","und","ich",3
"56586","großer","teil","des",3
"56587","das","hätten","die",3
"56588","mit","dem","rest",3
"56589","an","die","chinesische",3
"56590","denen","die","sich",3
"56591","es","gehe","ihm",3
"56592","der","spd-vorsitzende","sigmar",3
"56593","spd-vorsitzende","sigmar","gabriel",3
"56594","immer","gleich","die",3
"56595","falls","es","nicht",3
"56596","ich","ja","beruhigt",3
"56597","ist","auch","den",3
"56598","aber","sie","wollen",3
"56599","52","prozent","der",3
"56600","ein","solches","vorgehen",3
"56601","dass","sie","damit",3
"56602","wir","uns","vorgenommen",3
"56603","6,5","millionen","euro",3
"56604","am","persischen","golf",3
"56605","oder","bis","zu",3
"56606","wie","möglich","wieder",3
"56607","in","den","betrieben",3
"56608","zum","guten","ton",3
"56609","vor","einem","rückfall",3
"56610","will","er","die",3
"56611","auf","die","mannschaft",3
"56612","vor","den","beiden",3
"56613","in","der","partie",3
"56614","bei","manchester","city",3
"56615","um","den","ersten",3
"56616","der","gruppe","mit",3
"56617","führen","soll","die",3
"56618","schon","fast","ein",3
"56619","sie","es","doch",3
"56620","zweite","teil","der",3
"56621","benjamin","netanjahu","und",3
"56622","und","risiken","des",3
"56623","die","frage","sei",3
"56624","verteidigungsminister","leon","panetta",3
"56625","darauf","dass","ein",3
"56626","dass","ein","großteil",3
"56627","an","der","sitzung",3
"56628","haben","nicht","die",3
"56629","sondern","auch","ihren",3
"56630","lage","des","landes",3
"56631","ist","die","von",3
"56632","stärkste","politische","kraft",3
"56633","der","bewältigung","der",3
"56634","bewältigung","der","krise",3
"56635","bis","zur","abstimmung",3
"56636","allerdings","nicht","zu",3
"56637","schon","zu","lebzeiten",3
"56638","einfach","so","gut",3
"56639","die","bisher","nur",3
"56640","jetzt","eine","gute",3
"56641","dabei","um","einen",3
"56642","der","letzten","großen",3
"56643","der","schlüssel","zum",3
"56644","am","nachmittag","um",3
"56645","das","video","mit",3
"56646","doch","dann","ist",3
"56647","zum","problem","werden",3
"56648","da","für","die",3
"56649","zu","haben","für",3
"56650","wird","der","verein",3
"56651","vom","5","bis",3
"56652","werde","so","lange",3
"56653","sich","die","bilder",3
"56654","die","idee","auf",3
"56655","vor","über","einem",3
"56656","der","druck","der",3
"56657","es","gab","kaum",3
"56658","von","500","euro",3
"56659","500","euro","pro",3
"56660","eine","fortsetzung","des",3
"56661","mehr","als","zwanzig",3
"56662","gegen","die","welt",3
"56663","prozent","ein","der",3
"56664","der","dollar","kostete",3
"56665","der","62","jahre",3
"56666","das","risiko","eines",3
"56667","na","ich","bin",3
"56668","wir","haben","ihm",3
"56669","halbes","jahr","vor",3
"56670","seit","bestehen","der",3
"56671","für","zehnjährige","papiere",3
"56672","anlagen","in","griechenland",3
"56673","in","dieser","höhe",3
"56674","ist","echt","spitze",3
"56675","ist","ein","netter",3
"56676","spiel","für","uns",3
"56677","verwiesen","auf","die",3
"56678","einigen","jahren","mit",3
"56679","fast","so","alt",3
"56680","gut","und","bei",3
"56681","ausgehen","dass","es",3
"56682","unter","fünf","prozent",3
"56683","die","werde","ich",3
"56684","nach","einem","freistoß",3
"56685","den","einzigen","treffer",3
"56686","sind","und","in",3
"56687","die","sehnsucht","nach",3
"56688","wäre","das","alles",3
"56689","daß","sich","die",3
"56690","später","an","die",3
"56691","ich","frage","ob",3
"56692","sie","mir","das",3
"56693","zufall","dass","die",3
"56694","sie","es","auf",3
"56695","werden","von","einem",3
"56696","an","die","mitglieder",3
"56697","dass","man","über",3
"56698","jetzt","ich","bin",3
"56699","stand","bei","der",3
"56700","türkische","ministerpräsident","erdogan",3
"56701","einer","der","prominentesten",3
"56702","nicht","leicht","die",3
"56703","türken","in","deutschland",3
"56704","indem","er","seine",3
"56705","wird","nach","den",3
"56706","auch","manchmal","die",3
"56707","er","recht","hat",3
"56708","gehört","zu","haben",3
"56709","auch","dieses","mal",3
"56710","und","die","opfer",3
"56711","bis","er","die",3
"56712","er","an","diesem",3
"56713","meldet","euch","einfach",3
"56714","einfach","für","die",3
"56715","motiv","für","die",3
"56716","aber","auch","ihre",3
"56717","es","ist","schade",3
"56718","mit","musik","zu",3
"56719","ist","was","die",3
"56720","ist","der","traum",3
"56721","mach","ich","gerne",3
"56722","hat","mich","überzeugt",3
"56723","dem","fall","der",3
"56724","erklären","dass","die",3
"56725","nur","fünf","minuten",3
"56726","fünf","minuten","vor",3
"56727","über","die","man",3
"56728","in","der","59",3
"56729","der","59","minute",3
"56730","siebten","mal","in",3
"56731","der","liga","und",3
"56732","hat","der","in",3
"56733","11","märz","in",3
"56734","und","ab","dem",3
"56735","schließlich","auch","in",3
"56736","am","25","und",3
"56737","abhängig","von","den",3
"56738","den","erfahrungen","mit",3
"56739","also","immer","wieder",3
"56740","von","der","person",3
"56741","im","nordosten","des",3
"56742","nordosten","des","landes",3
"56743","sie","haben","auch",3
"56744","mein","profil","und",3
"56745","die","europäischen","banken",3
"56746","die","banken","nicht",3
"56747","bei","der","notenbank",3
"56748","von","1,5","prozent",3
"56749","die","realschule","hat",3
"56750","könne","er","nicht",3
"56751","gelte","auch","für",3
"56752","wenn","du","an",3
"56753","auch","in","seiner",3
"56754","zu","hause","oder",3
"56755","kam","nach","angaben",3
"56756","wenn","einer","eine",3
"56757","einer","eine","reise",3
"56758","eine","blutprobe","entnommen",3
"56759","werden","die","in",3
"56760","mir","die","wahrheit",3
"56761","jeden","tag","so",3
"56762","von","eintracht","frankfurt",3
"56763","das","kann","niemand",3
"56764","deshalb","ist","das",3
"56765","von","zwölf","milliarden",3
"56766","des","deutschen","instituts",3
"56767","deutschen","instituts","für",3
"56768","denen","in","der",3
"56769","17","milliarden","euro",3
"56770","noch","tiefer","in",3
"56771","15","prozent","auf",3
"56772","gang","der","dinge",3
"56773","bereits","im","februar",3
"56774","nicht","die","erhoffte",3
"56775","zur","förderung","des",3
"56776","viertel","der","wirtschaftsleistung",3
"56777","im","jahr","der",3
"56778","wichtige","rolle","für",3
"56779","oder","auch","an",3
"56780","ist","das","kind",3
"56781","sich","der","demografische",3
"56782","die","stadt","von",3
"56783","den","weg","des",3
"56784","die","uns","den",3
"56785","eine","empfehlung","für",3
"56786","in","den","kategorien",3
"56787","bei","der","lösung",3
"56788","der","lösung","der",3
"56789","mit","der","islamischen",3
"56790","nur","noch","fünf",3
"56791","den","job","in",3
"56792","der","europäischen","verträge",3
"56793","das","ergebnis","eines",3
"56794","ist","deshalb","ein",3
"56795","sie","sich","sehr",3
"56796","experten","der","commerzbank",3
"56797","noch","bis","november",3
"56798","am","heutigen","montag",3
"56799","einen","entsprechenden","antrag",3
"56800","es","wegen","der",3
"56801","liege","im","bett",3
"56802","im","ersten","bauabschnitt",3
"56803","eine","neue","entschlossenheit",3
"56804","neue","entschlossenheit","im",3
"56805","entschlossenheit","im","kampf",3
"56806","für","die","npd",3
"56807","wenn","sie","der",3
"56808","dieses","politische","flaggschiff",3
"56809","politische","flaggschiff","der",3
"56810","flaggschiff","der","rechtsradikalen",3
"56811","der","rechtsradikalen","muss",3
"56812","rechtsradikalen","muss","endlich",3
"56813","muss","endlich","politisch",3
"56814","endlich","politisch","und",3
"56815","politisch","und","juristisch",3
"56816","und","juristisch","versenkt",3
"56817","juristisch","versenkt","werden",3
"56818","fand","auch","die",3
"56819","hohe","ansprüche","an",3
"56820","weitem","nicht","die",3
"56821","hatte","am","mittwoch",3
"56822","für","italienische","staatsanleihen",3
"56823","das","stimmt","schon",3
"56824","viel","geld","kosten",3
"56825","zu","haben","eine",3
"56826","noch","im","sommer",3
"56827","unter","den","opfern",3
"56828","wenige","stunden","zuvor",3
"56829","geben","denn","auch",3
"56830","zu","öffnen","das",3
"56831","die","praxis","ist",3
"56832","der","ist","es",3
"56833","mach","mir","mal",3
"56834","bis","zum","ablauf",3
"56835","hat","sich","über",3
"56836","wie","italien","oder",3
"56837","was","wir","heute",3
"56838","die","opposition","ist",3
"56839","der","abschaltung","der",3
"56840","sieben","ältesten","atomkraftwerke",3
"56841","bei","aller","kritik",3
"56842","und","nichts","tun",3
"56843","ein","bisschen","regen",3
"56844","sieht","aber","gut",3
"56845","sprecher","der","fraktion",3
"56846","sich","die","führung",3
"56847","hat","sie","nie",3
"56848","im","eigenen","lande",3
"56849","nicht","erst","morgen",3
"56850","wie","eh","und",3
"56851","eh","und","je",3
"56852","bis","zum","6",3
"56853","ihr","die","ihr",3
"56854","quer","durch","europa",3
"56855","eine","kamera","und",3
"56856","den","umbau","des",3
"56857","ist","die","menschen",3
"56858","derzeit","von","den",3
"56859","hoffentlich","komme","ich",3
"56860","in","die","pleite",3
"56861","mit","den","vereinen",3
"56862","der","regierung","von",3
"56863","bereits","einen","tag",3
"56864","wohl","noch","mal",3
"56865","wenn","dies","nicht",3
"56866","nicht","schon","längst",3
"56867","läuft","alles","nach",3
"56868","zu","dass","es",3
"56869","der","erfolg","von",3
"56870","wurde","ein","mensch",3
"56871","leben","so","wie",3
"56872","ich","hier","schon",3
"56873","da","man","sich",3
"56874","das","ansehen","der",3
"56875","zwar","unter","dem",3
"56876","im","rennen","ist",3
"56877","eine","reform","der",3
"56878","des","parlamentarischen","kontrollgremiums",3
"56879","thomas","oppermann","spd",3
"56880","milliarden","euro","zur",3
"56881","termin","steht","noch",3
"56882","haben","als","er",3
"56883","immer","nur","ein",3
"56884","länder","in","den",3
"56885","wasser","und","die",3
"56886","noch","drei","stunden",3
"56887","bondscoach","bert","van",3
"56888","vielleicht","sogar","ganz",3
"56889","freitag","gab","es",3
"56890","von","drei","monaten",3
"56891","kann","wie","man",3
"56892","die","bahn","die",3
"56893","der","bund","der",3
"56894","bund","der","steuerzahler",3
"56895","der","us-weltraumbehörde","nasa",3
"56896","doch","dann","machte",3
"56897","dort","wo","sich",3
"56898","freitag","in","einem",3
"56899","von","der","französischen",3
"56900","aus","dem","rahmen",3
"56901","auf","in","einen",3
"56902","der","npd","ist",3
"56903","das","bildungs","und",3
"56904","vorgaben","des","bundesverfassungsgerichts",3
"56905","werden","sollen","ist",3
"56906","anforderungen","an","den",3
"56907","frauen","in","ihrer",3
"56908","auf","die","kommenden",3
"56909","wissen","worum","es",3
"56910","informationen","geben","die",3
"56911","bei","dem","unfall",3
"56912","liegen","und","die",3
"56913","der","versuch","einen",3
"56914","vertrauensabstimmung","im","parlament",3
"56915","glaube","ich","es",3
"56916","nicht","geschehen","und",3
"56917","gar","nicht","genug",3
"56918","ab","sofort","wieder",3
"56919","ist","noch","jung",3
"56920","atommüll","aus","der",3
"56921","mittwoch","in","frankreich",3
"56922","in","frankreich","gestartet",3
"56923","verband","der","deutschen",3
"56924","gebe","es","bereits",3
"56925","zehn","jahren","eine",3
"56926","den","bürgern","der",3
"56927","ministerpräsident","peter","harry",3
"56928","die","zeitung","beruft",3
"56929","zeitung","beruft","sich",3
"56930","auf","einer","einsamen",3
"56931","mit","dieser","technik",3
"56932","auf","dem","pausenhof",3
"56933","dazu","in","den",3
"56934","anreize","für","eine",3
"56935","mich","auch","zu",3
"56936","menschen","die","ihm",3
"56937","entscheidende","frage","ist",3
"56938","mit","nur","einer",3
"56939","an","weil","sie",3
"56940","jetzt","gehts","mir",3
"56941","zwar","dass","die",3
"56942","der","wegen","seiner",3
"56943","im","moment","der",3
"56944","nach","vier","jahren",3
"56945","die","er","als",3
"56946","nach","einer","operation",3
"56947","nur","als","letztes",3
"56948","an","es","geht",3
"56949","ich","wollte","noch",3
"56950","der","bundesliga","und",3
"56951","versucht","sie","zu",3
"56952","über","die","rechte",3
"56953","der","nähe","und",3
"56954","austausch","von","informationen",3
"56955","zum","umgang","mit",3
"56956","der","wahl","von",3
"56957","kontrast","zu","den",3
"56958","die","ergebnisse","ihrer",3
"56959","zurück","nach","hause",3
"56960","die","stimmung","auf",3
"56961","europa","und","nordamerika",3
"56962","für","die","besten",3
"56963","der","kraft","der",3
"56964","am","mittwoch","hatte",3
"56965","noch","mehr","in",3
"56966","der","bereits","vor",3
"56967","allerdings","von","einem",3
"56968","wie","sehr","ihr",3
"56969","einem","großen","unternehmen",3
"56970","niedrig","zu","halten",3
"56971","mehr","zu","verlieren",3
"56972","mag","sie","auch",3
"56973","der","jährlichen","wirtschaftsleistung",3
"56974","an","die","märkte",3
"56975","dass","das","möglich",3
"56976","noch","nicht","wissen",3
"56977","ob","wir","uns",3
"56978","wir","uns","gegen",3
"56979","runde","mit","den",3
"56980","so","lange","er",3
"56981","ist","damit","auch",3
"56982","problemen","zu","kämpfen",3
"56983","danke","fürs","retweeten",3
"56984","am","sonntag","11",3
"56985","sonntag","11","dezember",3
"56986","in","empfang","genommen",3
"56987","bei","der","beantwortung",3
"56988","etwas","von","dem",3
"56989","fc","bayern","hat",3
"56990","endlich","mal","einer",3
"56991","eine","quote","von",3
"56992","hatte","weil","er",3
"56993","den","preis","für",3
"56994","jetzt","auch","von",3
"56995","ein","verstoß","gegen",3
"56996","in","ähnlicher","weise",3
"56997","als","sie","vor",3
"56998","wir","bitten","den",3
"56999","bitten","den","fehler",3
"57000","zu","stehen","kommen",3
"57001","2014","in","brasilien",3
"57002","sich","in","sachen",3
"57003","das","unternehmen","ein",3
"57004","zusammen","mit","ihren",3
"57005","soll","sich","nun",3
"57006","zwischen","99","cent",3
"57007","99","cent","und",3
"57008","cent","und","1,29",3
"57009","und","1,29","dollar",3
"57010","die","qualität","ihrer",3
"57011","dass","italien","nicht",3
"57012","der","euro-zone","ist",3
"57013","viel","arbeit","für",3
"57014","mit","ihrem","bruder",3
"57015","weil","es","hier",3
"57016","doch","auch","wenn",3
"57017","in","30","jahren",3
"57018","wer","zum","beispiel",3
"57019","ist","wird","sich",3
"57020","nur","auf","platz",3
"57021","vom","flughafen","in",3
"57022","in","berlin","nach",3
"57023","ganz","schön","teuer",3
"57024","auf","der","oberfläche",3
"57025","sie","können","doch",3
"57026","millionen","dollar","gekostet",3
"57027","zeit","und","den",3
"57028","freute","sich","die",3
"57029","aus","mitteln","des",3
"57030","eine","militärische","operation",3
"57031","und","die","gefahr",3
"57032","das","auch","ein",3
"57033","ein","starkes","signal",3
"57034","genannt","wird","ist",3
"57035","zeigte","sich","von",3
"57036","die","weichen","auf",3
"57037","der","kritik","weil",3
"57038","wirds","wieder","besser",3
"57039","werden","dass","der",3
"57040","ist","die","aber",3
"57041","zu","fuß","und",3
"57042","sich","der","bürgermeister",3
"57043","auch","die","bürger",3
"57044","die","bürger","der",3
"57045","bislang","haben","die",3
"57046","kann","ich","als",3
"57047","am","23","oktober",3
"57048","wir","konnten","uns",3
"57049","davon","überzeugen","dass",3
"57050","die","jungen","menschen",3
"57051","wie","dies","geschehen",3
"57052","und","die","korruption",3
"57053","mit","breiter","mehrheit",3
"57054","hat","sie","in",3
"57055","und","ist","deshalb",3
"57056","ist","deshalb","auch",3
"57057","ist","nur","bei",3
"57058","vor","der","offiziellen",3
"57059","haben","an","der",3
"57060","an","der","freien",3
"57061","der","freien","universität",3
"57062","der","vergabe","von",3
"57063","er","im","september",3
"57064","beginn","der","finanzkrise",3
"57065","dollar","die","bank",3
"57066","dann","muss","es",3
"57067","macht","sich","gedanken",3
"57068","sie","sich","durch",3
"57069","als","nach","dem",3
"57070","sich","mit","gleichgesinnten",3
"57071","am","abend","ein",3
"57072","marie","von","ebner-eschenbach",3
"57073","auch","die","zeit",3
"57074","ist","die","wichtigste",3
"57075","daher","gibt","es",3
"57076","am","morgigen","mittwoch",3
"57077","motive","aus","dem",3
"57078","über","die","rege",3
"57079","es","wird","mal",3
"57080","auf","dem","berliner",3
"57081","der","film","im",3
"57082","aber","so","lange",3
"57083","die","fdp","bei",3
"57084","die","aufgabe","von",3
"57085","dass","diese","nicht",3
"57086","analyst","bei","der",3
"57087","schwächer","als","erwartet",3
"57088","in","trockenen","tüchern",3
"57089","in","den","industrieländern",3
"57090","aber","seien","sie",3
"57091","die","regierung","auch",3
"57092","damit","sollen","die",3
"57093","und","interesse","für",3
"57094","ihr","lieben","und",3
"57095","verfügt","über","einen",3
"57096","darunter","auch","ein",3
"57097","der","welt","sein",3
"57098","die","forscher","der",3
"57099","nicht","wahrhaben","wollen",3
"57100","es","sich","von",3
"57101","sich","von","ihm",3
"57102","hätte","das","land",3
"57103","vor","dem","geplanten",3
"57104","wir","sollten","keine",3
"57105","keine","vollendeten","tatsachen",3
"57106","deutscher","banken","michael",3
"57107","banken","michael","kemmer",3
"57108","dass","vor","der",3
"57109","volksabstimmung","über","das",3
"57110","in","der","gefahr",3
"57111","von","7.30","uhr",3
"57112","der","regel","für",3
"57113","von","zwei","monaten",3
"57114","lag","bei","den",3
"57115","jahren","für","die",3
"57116","das","sieht","der",3
"57117","macht","sich","nun",3
"57118","vor","allem","unter",3
"57119","nacht","der","museen",3
"57120","fest","steht","dass",3
"57121","wir","sollten","jetzt",3
"57122","kinder","und","erwachsene",3
"57123","das","zeigt","auch",3
"57124","frau","merkel","sagte",3
"57125","zu","den","restlichen",3
"57126","aber","hat","der",3
"57127","was","ich","sagen",3
"57128","so","konnte","sich",3
"57129","eigentlich","nur","auf",3
"57130","am","wochenende","im",3
"57131","wollen","werden","wir",3
"57132","und","ich","gebe",3
"57133","ist","einfach","eine",3
"57134","ohne","die","zustimmung",3
"57135","der","einschätzung","dass",3
"57136","dass","einige","der",3
"57137","25","milliarden","dollar",3
"57138","mit","harter","hand",3
"57139","wir","waren","noch",3
"57140","man","sich","beim",3
"57141","nach","dresden","und",3
"57142","aus","der","hauptstadt",3
"57143","präsentieren","zu","können",3
"57144","wie","die","bild",3
"57145","auf","einen","baldigen",3
"57146","die","folge","sein",3
"57147","angebot","der","liga",3
"57148","er","das","leben",3
"57149","nicht","dafür","aber",3
"57150","aus","der","ruhe",3
"57151","einer","flanke","von",3
"57152","der","mann","wurde",3
"57153","zukunft","des","euro",3
"57154","sich","ganz","von",3
"57155","nacht","in","einem",3
"57156","und","sollte","es",3
"57157","doch","noch","besser",3
"57158","habe","nur","noch",3
"57159","sie","nicht","das",3
"57160","in","dem","betroffenen",3
"57161","weiß","dass","auch",3
"57162","indem","man","den",3
"57163","das","volumen","des",3
"57164","dabei","sein","konnte",3
"57165","in","kurzen","hosen",3
"57166","demonstrationen","gegen","die",3
"57167","von","joachim","löw",3
"57168","im","nächsten","sommer",3
"57169","auf","einer","stufe",3
"57170","einer","stufe","mit",3
"57171","schlimmste","was","einem",3
"57172","ich","bin","alles",3
"57173","ist","der","urlaub",3
"57174","wir","wollen","keine",3
"57175","am","liebsten","im",3
"57176","kein","thema","die",3
"57177","die","saison","ist",3
"57178","saison","ist","noch",3
"57179","noch","lang","und",3
"57180","1,9","billionen","euro",3
"57181","fotos","und","videos",3
"57182","die","eu","hat",3
"57183","um","den","haushalt",3
"57184","den","vfl","wolfsburg",3
"57185","positive","auswirkungen","auf",3
"57186","chefredakteur","kai","diekmann",3
"57187","ein","heer","von",3
"57188","wird","in","vielen",3
"57189","vor","augen","die",3
"57190","aus","dem","programm",3
"57191","nur","so","in",3
"57192","kann","ich","nach",3
"57193","weniger","mit","den",3
"57194","nicht","zu","dem",3
"57195","die","ezb","hat",3
"57196","eine","ausgabe","von",3
"57197","löcher","in","die",3
"57198","5","und","6",3
"57199","kinder","von","der",3
"57200","die","lage","ähnlich",3
"57201","ist","auch","ob",3
"57202","nun","schon","die",3
"57203","in","die","sendung",3
"57204","banklizenz","für","den",3
"57205","für","den","efsf",3
"57206","es","ist","längst",3
"57207","ist","es","durchaus",3
"57208","ich","hab","am",3
"57209","mit","geldern","des",3
"57210","mit","der","nächsten",3
"57211","zu","haben","ein",3
"57212","ins","kino","und",3
"57213","ihn","an","den",3
"57214","hoffe","es","hat",3
"57215","es","hat","was",3
"57216","und","die","schüler",3
"57217","durch","die","finanzkrise",3
"57218","in","den","peripherieländern",3
"57219","sich","die","betroffenen",3
"57220","die","betroffenen","länder",3
"57221","in","einem","ferienlager",3
"57222","und","den","menschen",3
"57223","sollen","sich","die",3
"57224","ihr","euch","für",3
"57225","der","berliner","akademie",3
"57226","berliner","akademie","der",3
"57227","so","hatte","die",3
"57228","hab","grad","ne",3
"57229","zu","machen","sie",3
"57230","nicht","allein","die",3
"57231","schon","längst","in",3
"57232","uns","mal","an",3
"57233","aber","klar","die",3
"57234","schon","zum","dritten",3
"57235","in","den","hinteren",3
"57236","in","berlin","bekannt",3
"57237","bis","2030","sollen",3
"57238","sollen","auf","dem",3
"57239","mit","einer","leistung",3
"57240","einer","leistung","von",3
"57241","zur","verfügung","das",3
"57242","in","italien","die",3
"57243","allerdings","nicht","im",3
"57244","ist","nicht","weniger",3
"57245","wenn","du","wüsstest",3
"57246","zugriff","auf","das",3
"57247","staatsanleihen","mit","einer",3
"57248","eine","deutlich","höhere",3
"57249","deutschland","ist","im",3
"57250","ist","im","zweiten",3
"57251","ersten","drei","monaten",3
"57252","monaten","des","jahres",3
"57253","bei","facebook","hat",3
"57254","nach","rund","einer",3
"57255","vorläufig","nicht","mehr",3
"57256","diesem","grund","sind",3
"57257","das","sich","am",3
"57258","oder","nicht","aber",3
"57259","heraus","dass","sie",3
"57260","auch","gegenüber","der",3
"57261","3","2","2",3
"57262","ließ","sich","der",3
"57263","werden","sie","als",3
"57264","sie","sich","den",3
"57265","#facebook","#twitter","und",3
"57266","1000","euro","die",3
"57267","das","kann","nach",3
"57268","um","die","unterstützung",3
"57269","und","immer","weiter",3
"57270","die","tat","umzusetzen",3
"57271","im","bereich","von",3
"57272","die","die","das",3
"57273","um","seine","person",3
"57274","von","hape","kerkeling",3
"57275","ich","solle","doch",3
"57276","deshalb","nicht","mehr",3
"57277","die","nackte","wahrheit",3
"57278","es","gibt","ihn",3
"57279","vor","der","brust",3
"57280","auf","dinge","die",3
"57281","in","einer","aktuellen",3
"57282","wurde","die","damals",3
"57283","indem","er","eine",3
"57284","mit","dem","erneuten",3
"57285","die","europäische","integration",3
"57286","der","fdp","ist",3
"57287","über","das","spiel",3
"57288","geh","jetzt","duschen",3
"57289","ich","war","wie",3
"57290","zu","ende","jetzt",3
"57291","die","abstimmung","am",3
"57292","mal","schnell","ein",3
"57293","die","ausgestaltung","des",3
"57294","ist","dies","bei",3
"57295","ihre","häuser","verlassen",3
"57296","um","dann","mit",3
"57297","die","quelle","der",3
"57298","aber","nur","zwei",3
"57299","auch","in","frankfurt",3
"57300","wusste","ich","dass",3
"57301","nicht","hoch","genug",3
"57302","den","frühen","morgenstunden",3
"57303","25","millionen","euro",3
"57304","den","anhängern","der",3
"57305","straße","um","gegen",3
"57306","in","einigen","fällen",3
"57307","aber","erst","noch",3
"57308","ich","meine","damit",3
"57309","der","sprecher","er",3
"57310","haftrichter","vorgeführt","werden",3
"57311","nach","einer","langen",3
"57312","sie","nur","so",3
"57313","zu","tun","doch",3
"57314","und","entschuldigte","sich",3
"57315","sich","bei","seinen",3
"57316","der","konzern","hat",3
"57317","vom","netz","genommen",3
"57318","zu","lösen","das",3
"57319","nationalen","olympischen","komitees",3
"57320","im","november","soll",3
"57321","auf","den","hintern",3
"57322","beiden","parteien","zu",3
"57323","das","projekt","in",3
"57324","zu","der","das",3
"57325","später","am","tag",3
"57326","mitte","vergangenen","jahres",3
"57327","keinen","grund","zu",3
"57328","haben","wollen","oder",3
"57329","einen","weg","der",3
"57330","auf","einer","anhöhe",3
"57331","für","die","linkspartei",3
"57332","schon","wie","der",3
"57333","ist","sie","an",3
"57334","das","ist","zumindest",3
"57335","nur","zwei","jahre",3
"57336","in","den","gegnerischen",3
"57337","in","einer","in",3
"57338","kann","man","dem",3
"57339","immer","wieder","sind",3
"57340","wieder","sind","es",3
"57341","der","bedarf","an",3
"57342","alles","mit","dem",3
"57343","becquerel","pro","stunde",3
"57344","sind","während","des",3
"57345","von","der","grundschule",3
"57346","das","maß","aller",3
"57347","maß","aller","dinge",3
"57348","dem","ermittlungsrichter","des",3
"57349","bgh","in","karlsruhe",3
"57350","und","freude","an",3
"57351","das","recht","und",3
"57352","können","wenn","er",3
"57353","im","16","jahrhundert",3
"57354","vergangene","woche","bei",3
"57355","worden","in","den",3
"57356","hatte","es","im",3
"57357","eine","cd","mit",3
"57358","einen","wichtigen","schritt",3
"57359","wichtigen","schritt","in",3
"57360","angaben","des","weißen",3
"57361","auf","die","bildung",3
"57362","nach","der","begrüßung",3
"57363","aber","im","großen",3
"57364","bei","laune","zu",3
"57365","laune","zu","halten",3
"57366","dürften","auch","die",3
"57367","ist","am","frühen",3
"57368","deutschen","zentrum","für",3
"57369","zentrum","für","luft",3
"57370","und","raumfahrt","dlr",3
"57371","seit","einigen","monaten",3
"57372","und","im","herbst",3
"57373","sich","die","kandidaten",3
"57374","über","zwei","jahren",3
"57375","der","landesvorsitzende","der",3
"57376","sie","als","die",3
"57377","euro","zur","kasse",3
"57378","ich","mich","damit",3
"57379","hinter","den","erwartungen",3
"57380","den","erwartungen","zurück",3
"57381","am","nachmittag","mit",3
